token,occurrences,expected_result,is_interesting
lumbini,2026,,
mengetatkan,2026,,
obviously,2026,,
panghegar,2026,,
prosen,2026,,
prototip,2026,,
puel,2026,,
qtt,2026,,
rals,2026,,
scor,2026,,
setannya,2026,,
setauku,2026,,
transduksi,2026,,
x-fuera,2026,,
batatas,2025,,
bawak,2025,,
beliaulah,2025,,
excalibur,2025,,
hidayahnya,2025,,
hidup-mati,2025,,
locally,2025,,
menyinggahi,2025,,
metabolismenya,2025,,
murano,2025,,
parwez,2025,,
pinter-pinter,2025,,
startup-startup,2025,,
sudak,2025,,
sweeney,2025,,
turjawali,2025,,
waled,2025,,
x-wav,2025,,
borough,2024,,
braided,2024,,
cukupnya,2024,,
darmstadt,2024,,
distinctive,2024,,
dragster,2024,,
endositosis,2024,,
hayao,2024,,
hobo,2024,,
ingolstadt,2024,,
jellyfish,2024,,
kirakira,2024,,
leksikon,2024,,
metoo,2024,,
mystique,2024,,
pendaftarnya,2024,,
sap2000,2024,,
sehat2,2024,,
sitostatika,2024,,
strongest,2024,,
anakkost,2023,,
arpa,2023,,
bakrieland,2023,,
boyongan,2023,,
bukti-buktinya,2023,,
caldera,2023,,
celebest,2023,,
dundee,2023,,
guling-guling,2023,,
indopremier,2023,,
keliaran,2023,,
kumisnya,2023,,
majalahnya,2023,,
nombok,2023,,
palandung,2023,,
pattiro,2023,,
riyono,2023,,
seals,2023,,
solehah,2023,,
abhishek,2022,,
bathub,2022,,
bersensor,2022,,
cheque,2022,,
cladding,2022,,
haranggaol,2022,,
infographic,2022,,
kuntadhi,2022,,
lingkunga,2022,,
penciri,2022,,
pmreply,2022,,
responsivitas,2022,,
rooted,2022,,
selatannya,2022,,
uke,2022,,
wenten,2022,,
whitsunday,2022,,
artocarpus,2021,,
baringin,2021,,
berkebudayaan,2021,,
binarupa,2021,,
boobs,2021,,
budimanta,2021,,
budiwinarto,2021,,
cucu-cucu,2021,,
dilem,2021,,
fhi,2021,,
jambiekspres,2021,,
leaks,2021,,
lisinopril,2021,,
luisa,2021,,
melee,2021,,
mengeratkan,2021,,
numerasi,2021,,
operant,2021,,
pengunyahan,2021,,
ponte,2021,,
semewah,2021,,
suarakepri,2021,,
subkontrak,2021,,
tanduknya,2021,,
aktvitas,2020,,
attendant,2020,,
bereplikasi,2020,,
cerainya,2020,,
checkup,2020,,
ejeksi,2020,,
fixture,2020,,
hajjah,2020,,
jentera,2020,,
kurirnya,2020,,
malthus,2020,,
muricata,2020,,
ol-5,2020,,
ooc,2020,,
saronde,2020,,
schlumberger,2020,,
sugarcane,2020,,
tetanggaku,2020,,
yoyon,2020,,
400cc,2019,,
atin,2019,,
compactor,2019,,
d22,2019,,
dibiakkan,2019,,
ejector,2019,,
keputusanmu,2019,,
kreasindo,2019,,
laying,2019,,
leonid,2019,,
meksi,2019,,
mjk,2019,,
ngebuka,2019,,
parra,2019,,
penutupannya,2019,,
sebua,2019,,
sidekick,2019,,
tumiyana,2019,,
wayer,2019,,
15a,2018,,
ajc,2018,,
banyolan,2018,,
boto,2018,,
comforta,2018,,
delisa,2018,,
dianterin,2018,,
dinarasikan,2018,,
giles,2018,,
kabat,2018,,
larutannya,2018,,
lisnawati,2018,,
odriozola,2018,,
persak,2018,,
sekarng,2018,,
showselection,2018,,
supercopa,2018,,
terfermentasi,2018,,
tjhai,2018,,
vanadium,2018,,
zaidi,2018,,
zaim,2018,,
apparent,2017,,
armi,2017,,
awloh,2017,,
bangets,2017,,
blooms,2017,,
dissemination,2017,,
effluent,2017,,
femoral,2017,,
gulana,2017,,
intelsat,2017,,
istikharah,2017,,
jakarta-bogor,2017,,
nationals,2017,,
perseptual,2017,,
postpaid,2017,,
prokariot,2017,,
provence,2017,,
raam,2017,,
randomly,2017,,
seki,2017,,
sindangsari,2017,,
solven,2017,,
takeran,2017,,
toisutta,2017,,
adaan,2016,,
alawiyah,2016,,
baguette,2016,,
bhsstr,2016,,
candanya,2016,,
cewe2,2016,,
cholik,2016,,
conduit,2016,,
diajarkannya,2016,,
eto,2016,,
gunpla,2016,,
harsh,2016,,
iac,2016,,
injured,2016,,
intak,2016,,
k7,2016,,
kobi,2016,,
konta,2016,,
lumi,2016,,
membranding,2016,,
r7s,2016,,
rime,2016,,
tmr,2016,,
ze520kl,2016,,
4mb,2015,,
admins,2015,,
aidan,2015,,
amigdala,2015,,
amquote,2015,,
bronkoskopi,2015,,
d90,2015,,
dreamer,2015,,
duniamu,2015,,
e-repository,2015,,
hansi,2015,,
infusa,2015,,
mebeler,2015,,
oktagon,2015,,
razan,2015,,
return'url,2015,,
sekiguchi,2015,,
shed,2015,,
sudarmadji,2015,,
sytem,2015,,
uitm,2015,,
viostin,2015,,
x-m4a,2015,,
ballmer,2014,,
believes,2014,,
bulgari,2014,,
dibundel,2014,,
ditirukan,2014,,
fud,2014,,
hallows,2014,,
jardin,2014,,
kamasutra,2014,,
kanul,2014,,
mgt,2014,,
mogi,2014,,
netapp,2014,,
ngapa2in,2014,,
non-medis,2014,,
peparpenas,2014,,
pertandingkan,2014,,
pjp,2014,,
postingan-postingan,2014,,
profesi-profesi,2014,,
reefs,2014,,
sieve,2014,,
suhatri,2014,,
supadi,2014,,
trade-off,2014,,
yuma,2014,,
dawarblandong,2013,,
deklinasi,2013,,
eriyanto,2013,,
gp19,2013,,
hadimoeljono,2013,,
hta,2013,,
intermediary,2013,,
kaco,2013,,
kukenal,2013,,
mcclelland,2013,,
mutmainah,2013,,
neuromuscular,2013,,
nuniek,2013,,
