token,occurrences,expected_result,is_interesting
self-confidence,1347,,
soewardi,1347,,
stefi,1347,,
tansil,1347,,
tektur,1347,,
terme,1347,,
tform1,1347,,
thesaurus,1347,,
xss,1347,,
0kb,1346,,
appbrain,1346,,
audina,1346,,
beritanusantara,1346,,
bountynya,1346,,
bulukerto,1346,,
cultivated,1346,,
dawung,1346,,
dibengkel,1346,,
e-court,1346,,
extras,1346,,
fatlolon,1346,,
hauser,1346,,
hideki,1346,,
kmm,1346,,
komperehensif,1346,,
kursusnya,1346,,
lifelong,1346,,
meteseh,1346,,
mmki,1346,,
mni,1346,,
ovan,1346,,
panetta,1346,,
raminten,1346,,
realia,1346,,
sarion,1346,,
selanjutanya,1346,,
slicing,1346,,
sourceforge,1346,,
spink,1346,,
vanishing,1346,,
zahroh,1346,,
13a,1345,,
articleapa,1345,,
baek2,1345,,
berketebalan,1345,,
cashtree,1345,,
citycar,1345,,
convection,1345,,
danamas,1345,,
danmark,1345,,
deky,1345,,
embossed,1345,,
engraving,1345,,
eudora,1345,,
ffd,1345,,
fiskalnya,1345,,
gambaran-gambaran,1345,,
guaranteesribulancer,1345,,
hydrocortisone,1345,,
janelle,1345,,
kuangan,1345,,
maxus,1345,,
mediafacebooktwitterinstagramgoogle,1345,,
menginisialisasi,1345,,
miconazole,1345,,
miftachul,1345,,
mosm,1345,,
mun’im,1345,,
nde,1345,,
orgasm,1345,,
overfishing,1345,,
pesertadidik,1345,,
squirrel,1345,,
telex,1345,,
terdekomposisi,1345,,
tinggalku,1345,,
wight,1345,,
14w,1344,,
2-d,1344,,
58cm,1344,,
baristanya,1344,,
bridesmaids,1344,,
cottonink,1344,,
cusrom,1344,,
didid,1344,,
farry,1344,,
formative,1344,,
g35,1344,,
gardiner,1344,,
giggle,1344,,
insertafter,1344,,
intensification,1344,,
karangkobar,1344,,
keanggotan,1344,,
klay,1344,,
louie,1344,,
mashita,1344,,
mempersiapakan,1344,,
mengecilnya,1344,,
nuraisyah,1344,,
paikan,1344,,
parwisata,1344,,
pufa,1344,,
reformation,1344,,
satwika,1344,,
systolic,1344,,
tjiptaning,1344,,
vidiani,1344,,
westworld,1344,,
2ml,1343,,
39x,1343,,
agusti,1343,,
apologize,1343,,
aprialdi,1343,,
benturkan,1343,,
bigbike,1343,,
citragrand,1343,,
dheardianvoc,1343,,
dietil,1343,,
fothergills,1343,,
hlookup,1343,,
jum'atil,1343,,
kesaktiannya,1343,,
krmt,1343,,
ndidi,1343,,
nugrahani,1343,,
piksi,1343,,
pots,1343,,
psvita,1343,,
rachmatika,1343,,
rencannya,1343,,
saves,1343,,
shimada,1343,,
signifikannya,1343,,
skill-skill,1343,,
sppk,1343,,
takdirku,1343,,
tesol,1343,,
ufi,1343,,
wkk,1343,,
zid,1343,,
106cm,1342,,
allergies,1342,,
bayonetta,1342,,
bi7drr,1342,,
bikinannya,1342,,
blackbird,1342,,
bonded,1342,,
chivas,1342,,
clementine,1342,,
contaminated,1342,,
didapatlah,1342,,
dubsmash,1342,,
facialis,1342,,
hairdo,1342,,
kilometers,1342,,
lec,1342,,
lppi,1342,,
macula,1342,,
membcreated,1342,,
membemail2,1342,,
mempimpin,1342,,
namin,1342,,
ngoahaha,1342,,
openbts,1342,,
pdsi,1342,,
progressif,1342,,
rza,1342,,
supranoto,1342,,
synchronization,1342,,
traps,1342,,
33x,1341,,
andrade,1341,,
anggra,1341,,
arigatou,1341,,
berkuasanya,1341,,
busch,1341,,
cuper,1341,,
d40,1341,,
dilakasanakan,1341,,
dkp3a,1341,,
elaboration,1341,,
elphis,1341,,
faz,1341,,
goalkeeper,1341,,
hardrock,1341,,
humat,1341,,
janji2,1341,,
kendalsari,1341,,
kintap,1341,,
losartan,1341,,
manasye,1341,,
margins,1341,,
meatballs,1341,,
na2so4,1341,,
nisaa,1341,,
non-struktural,1341,,
rifaldi,1341,,
syaratsyarat,1341,,
taofik,1341,,
tharia,1341,,
volcom,1341,,
ace2,1340,,
allocated,1340,,
arachnoid,1340,,
asei,1340,,
attayaya,1340,,
avm,1340,,
eaten,1340,,
espnfc,1340,,
gianto,1340,,
gogagoman,1340,,
goldwing,1340,,
grock,1340,,
homogeneity,1340,,
i-iv,1340,,
iming2,1340,,
implied,1340,,
kiswoyo,1340,,
klikpay,1340,,
kosannya,1340,,
mandriva,1340,,
menanti-nantikan,1340,,
moermahadi,1340,,
nishi,1340,,
parpolnya,1340,,
pegembangan,1340,,
priceless,1340,,
proteksinya,1340,,
pulaskan,1340,,
rethinking,1340,,
ride-sharing,1340,,
spotnya,1340,,
standnya,1340,,
tuff,1340,,
tumpukkan,1340,,
ubahannya,1340,,
well-known,1340,,
22nya,1339,,
7gb,1339,,
andalanmu,1339,,
birokasi,1339,,
cisaga,1339,,
descriptively,1339,,
deti,1339,,
didudukinya,1339,,
dараt,1339,,
ekstraknya,1339,,
fdn,1339,,
gettext,1339,,
globular,1339,,
icio,1339,,
intelegent,1339,,
intraoperatif,1339,,
knitting,1339,,
kof,1339,,
mertuaku,1339,,
nanchang,1339,,
nieuw,1339,,
penasumatera,1339,,
popy,1339,,
salford,1339,,
samiaji,1339,,
sdd,1339,,
sfn,1339,,
teaterikal,1339,,
terdekatback,1339,,
albendazole,1338,,
andrés,1338,,
arginine,1338,,
binatangnya,1338,,
burni,1338,,
dartyan,1338,,
difortifikasi,1338,,
dilengkap,1338,,
dulcolax,1338,,
galerie,1338,,
goncalo,1338,,
gynecol,1338,,
hadikusumo,1338,,
institue,1338,,
internasionalwagssportscornerprediksi,1338,,
jurdil2019,1338,,
karaton,1338,,
kluarin,1338,,
komline,1338,,
kontruksinya,1338,,
mengitung,1338,,
motorcars,1338,,
pamphlet,1338,,
pandur,1338,,
perijinannya,1338,,
