token,occurrences,expected_result,is_interesting
terusik,11344,,
istock,11342,,
kedekatannya,11342,,
wildlife,11342,,
retailer,11341,,
dimasukin,11339,,
intrakranial,11339,,
unja,11339,,
mengetes,11338,,
perataan,11337,,
arenalte,11336,,
gajayana,11336,,
terselamatkan,11335,,
arabica,11334,,
bmp,11334,,
infofit,11333,,
profesionalnya,11333,,
diseasespersonamom,11332,,
juku,11331,,
konstruk,11331,,
accounts,11330,,
menginduksi,11330,,
println,11330,,
importance,11329,,
lsg,11329,,
faring,11328,,
lease,11325,,
ekspatriat,11324,,
communities,11323,,
dicalonkan,11323,,
diejek,11323,,
kegilaan,11323,,
kembangnya,11323,,
lukanya,11323,,
typo,11323,,
iwanbanaran,11322,,
dindingnya,11321,,
konga,11320,,
fkg,11319,,
telaten,11318,,
lips,11317,,
nilon,11316,,
soya,11316,,
pimpinannya,11315,,
ricciardo,11315,,
barsel,11314,,
berawak,11314,,
zulkarnaen,11314,,
asha,11313,,
wardana,11312,,
menujukkan,11311,,
h-7,11309,,
testimonials,11308,,
wwe,11308,,
andong,11307,,
loaded,11306,,
ratakan,11306,,
dala,11305,,
dijamu,11303,,
ke-31,11303,,
sumpit,11303,,
disuplai,11302,,
lawan-lawan,11302,,
confirm,11301,,
ssi,11301,,
menumbuhkembangkan,11300,,
ke-35,11299,,
sejoli,11298,,
dishare,11297,,
selulit,11297,,
lobak,11296,,
menyertainya,11296,,
pjb,11296,,
striping,11296,,
syl,11296,,
250r,11295,,
romy,11295,,
jakpro,11293,,
bantargebang,11292,,
judika,11292,,
bertetangga,11291,,
tundukkan,11291,,
tungau,11291,,
almari,11290,,
tunik,11290,,
asuka,11288,,
osama,11286,,
personilnya,11285,,
html5,11281,,
korpus,11281,,
penyuntingan,11281,,
deficit,11279,,
dentuman,11279,,
kerjaannya,11279,,
msk,11279,,
airbnb,11278,,
cao,11278,,
publications,11277,,
gpl,11276,,
tuning,11276,,
ditulisnya,11275,,
glitter,11275,,
uniform,11275,,
apbd-p,11274,,
explain,11274,,
kar,11274,,
ruwet,11274,,
yosef,11274,,
perisic,11273,,
tahura,11271,,
ikhwanul,11270,,
shara,11270,,
banyak-banyak,11269,,
mayora,11268,,
menohok,11267,,
pulogadung,11267,,
theresa,11267,,
turkey,11266,,
wikileaks,11265,,
hamstring,11263,,
angan,11262,,
anion,11261,,
disertifikasi,11261,,
dolken,11260,,
p20,11256,,
tokohnya,11256,,
arfan,11255,,
visinya,11255,,
bertele-tele,11254,,
disumbang,11254,,
kompany,11254,,
memaksanya,11254,,
memastikannya,11254,,
pek,11254,,
tertampung,11254,,
divalidasi,11253,,
morfin,11251,,
pullman,11250,,
sch,11250,,
sepeti,11250,,
synthesis,11249,,
pagoda,11248,,
problema,11248,,
amputasi,11247,,
inlet,11247,,
ibumu,11246,,
kebiasaannya,11245,,
menuliskannya,11245,,
